Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades
16.5,-550.74,-7.867714,0.762555,-0.529705,-4.54395,19.5014,70
16.47,-412.66,-10.581026,0.714483,-0.494381,-4.161381,15.6935,39
16.38,501.96,15.210909,1.709454,1.487377,4.509535,6.2954,33
16.37,-477.08,-11.927,0.677886,-0.475738,-4.2976,18.6198,40
16.35,-294.56,-6.267234,0.962169,-0.059998,-0.666433,60.4382,47
16.29,-1295.93,-18.513286,0.895866,-0.207776,-1.457033,73.3028,70
16.27,-3269.33,-49.535303,0.570821,-0.527346,-5,81.4967,66
16.22,-1193.29,-17.047,0.598047,-0.651761,-5,33.159,70
16.17,-503.79,-9.688269,0.826436,-0.350129,-5,24.7683,52
16.07,-1950.53,-41.500638,0.698379,-0.464244,-2.548095,69.0982,47
16.05,-29.64,-0.78,0.952322,-0.083888,-0.874602,6.7754,38
16.05,-1775.24,-37.771064,0.738769,-0.363041,-3.215772,70.4829,47
16.04,-25.28,-0.561778,0.989388,-0.016326,-0.136237,26.6435,45
15.93,58.7,1.586486,1.08843,0.181061,1.041113,6.2542,37
15.89,-99.9,-2.323256,0.768975,-0.347309,-5,5.6126,43
15.82,-771.15,-16.76413,0.678978,-0.508661,-5,28.945,46
15.76,-680.89,-15.474773,0.599144,-0.58844,-5,21.3239,44
15.72,363.9,9.576316,1.132339,0.283612,1.802626,23.2768,38
15.61,952,10.021053,1.069375,0.153237,1.492588,59.7431,95
15.51,-1071.13,-22.79,0.811658,-0.41163,-4.223382,42.7021,47
15.16,-446.55,-8.931,0.750308,-0.390361,-3.854518,20.921,50
14.88,-193.66,-2.934242,0.937111,-0.121656,-1.957959,30.158,66
14.76,-467.91,-7.546935,0.84742,-0.258588,-1.401598,30.4952,62
14.63,-2944.58,-65.435111,0.595968,-0.592472,-5,73.2265,45
14.53,-827.97,-14.275345,0.525907,-0.815228,-5,19.7874,58
14.34,128.31,2.983953,1.022713,0.064715,0.341558,27.8819,43
14.09,482.56,12.373333,1.127874,0.237704,1.50754,33.594,39
13.78,-1402.45,-31.873864,0.659408,-0.526586,-5,42.5389,44
13.76,129.66,3.813529,1.191742,0.304024,2.301362,8.301,34
13.73,298.75,9.335938,1.678669,1.461953,7.762802,4.0152,32
13.73,-316.02,-7.707805,0.630334,-0.6268,-5,9.872,41
13.45,-749.92,-6.146885,0.589941,-0.706505,-5,20.2882,122
13.38,85.75,2.45,1.378437,0.447244,8.824067,3.7667,35
13.25,-183.57,-1.423023,0.991053,-0.018844,-0.170771,76.0836,129
13.25,-2204.05,-34.984921,0.829531,-0.273091,-3.191452,78.2127,63
13.19,-160.23,-3.908049,0.669076,-0.493532,-5,6.3827,41
13.14,-1629,-26.704918,0.639469,-0.584116,-5,46.4822,61
12.92,-3672.04,-85.396279,0.490594,-0.686812,-4.570572,86.5407,43
12.82,-698.1,-8.310714,0.676948,-0.615256,-5,21.0593,84
12.56,-596.32,-5.096752,0.617842,-0.540782,-5,20.8215,117
12.35,-172.44,-4.311,0.726624,-0.46325,-5,7.2988,40
12.07,-334.5,-7.964286,0.933725,-0.104421,-1.050697,42.2033,42
12.06,144.23,4.370606,1.184418,0.326882,3.080177,8.3328,33
11.87,-345.28,-9.331892,0.591056,-0.587451,-5,11.5068,37
11.83,-281.79,-5.031964,0.945662,-0.106322,-1.108353,40.6142,56
11.77,-802.88,-11.807059,0.607814,-0.720899,-5,21.8848,68
11.75,-171.71,-4.769722,0.830611,-0.214697,-3.379109,14.7739,36
11.58,-1105.54,-7.132516,0.797461,-0.395426,-2.434846,45.5408,155
11.55,-845.1,-13.630645,0.399177,-0.76594,-5,21.1795,62
11.35,-38.59,-0.94122,0.994859,-0.00785,-0.066447,60.6264,41
11.08,-587.95,-13.065556,0.68402,-0.499643,-5,21.13,45
10.87,-379.8,-9.738462,0.417663,-0.788392,-5,9.4423,39
10.82,-63.78,-1.635385,0.707552,-0.368372,-5,3.4378,39
10.76,-209.76,-5.378462,0.499905,-0.59618,-5,6.8935,39
10.34,156.4,4.8875,1.244375,0.387705,2.684455,7.7819,32
10.14,-491.49,-12.28725,0.92034,-0.207168,-0.830846,34.6411,40
10.08,-174.85,-4.995714,0.840344,-0.217027,-1.581374,15.333,35
10.01,175.9,3.032759,1.028903,0.052039,1.147797,44.8012,58
9.94,-392.84,-10.912222,0.699998,-0.385568,-5,18.9709,36
9.67,-37.03,-0.974474,0.813798,-0.267577,-5,2.745,38
9.56,-329.82,-8.679474,0.161659,-0.772937,-5,8.372,38
9.46,-219.85,-5.637179,0.768689,-0.265728,-5,15.7456,39
9.39,-2926.57,-33.638736,0.702513,-0.556228,-5,75.5211,87
9.38,-411.38,-10.825789,0.537822,-0.640799,-5,12.327,38
9.31,373.07,11.305152,1.171419,0.515575,3.926141,12.2709,33
9.1,-820.46,-21.591053,0.530304,-0.603946,-5,24.6877,38
8.82,-696.02,-19.333889,0.739799,-0.650583,-3.390803,20.5277,36
8.63,640.19,19.399697,1.333643,0.449587,2.075738,24.6658,33
8.6,-1451.42,-16.876977,0.597626,-0.825266,-5,34.9674,86
8.58,-358.15,-9.67973,0.394915,-0.928933,-5,7.669,37
8.5,-2716.99,-69.66641,0.623021,-0.465629,-5,74.0118,39
7.91,-144.4,-4.375758,0.658548,-0.452452,-3.268522,6.1755,33
7.87,-938.8,-6.565035,0.66682,-0.737517,-5,24.5497,143
7.83,-287.71,-8.462059,0.804356,-0.298557,-2.985809,18.0159,34
7.59,-1183.82,-15.784267,0.562494,-0.697978,-5,31.0735,75
7.42,-228.98,-6.360556,0.331913,-0.752432,-5,6.0698,36
7.42,-988.95,-11.238068,0.858597,-0.421106,-2.74719,37.0172,88
7.27,-862.52,-20.53619,0.847266,-0.265218,-2.92354,50.443,42
7.26,1024.72,34.157333,1.307456,1.163516,5.250581,14.4285,30
7.03,-456.6,-13.429412,0.627873,-0.43499,-5,19.6136,34
6.96,-1193.18,-11.256415,0.63771,-0.632812,-4.973928,35.8361,106
6.85,-570.05,-6.333889,0.842008,-0.355014,-2.165639,29.6987,90
6.82,-670.51,-11.973393,0.687714,-0.451516,-5,26.5169,56
6.76,-25.56,-0.79875,0.944415,-0.084692,-0.811612,5.8306,32
6.69,-35.94,-1.123125,0.927082,-0.104708,-1.212283,6.6357,32
6.67,-257.45,-8.045313,0.703382,-0.503363,-4.052013,9.9074,32
6.62,-996.53,-17.181552,0.321248,-0.765073,-5,24.5482,58
6.5,75.47,2.096389,1.018373,0.028131,0.110669,49.2122,36
6.38,-905.9,-19.693478,0.684588,-0.644333,-5,25.6849,46
6.33,-250.27,-3.128375,0.942581,-0.127975,-1.065492,32.6901,80
6.26,-301.91,-8.626,0.644757,-0.483303,-5,12.027,35
6.23,-984.23,-27.339722,0.529068,-0.538746,-5,32.4283,36
6.21,-2293.01,-63.694722,0.684839,-0.439616,-4.256444,66.2171,36
6.1,2204.59,73.486333,1.52931,1.151378,2.204357,31.4202,30
6.07,-85.13,-1.35127,0.982263,-0.037543,-0.295191,36.9523,63
6.05,-2880.61,-35.12939,0.754927,-0.527636,-4.112114,80.9943,82
5.89,-858.73,-23.853611,0.424821,-0.76301,-5,21.5556,36
5.72,-3.99,-0.12871,0.995312,-0.007638,-0.054851,10.0652,31
5.54,-165.2,-4.858824,0.709001,-0.424242,-5,7.4538,34
5.53,202.86,7.245,1.395855,0.654598,4.324979,5.9992,28
5.34,2461.54,82.051333,1.340873,0.579524,4.117829,46.8321,30
5.34,-348.42,-10.888125,0.50784,-0.779254,-5,8.8807,32
5.28,-484.38,-15.136875,0.381,-0.8497,-5,11.3262,32
5.21,-1090.65,-9.321795,0.477878,-0.784928,-5,26.8827,117
5.16,-804.77,-18.715581,0.395269,-0.651414,-5,23.4859,43
5.01,-709.09,-12.22569,0.891659,-0.22479,-2.16073,49.174,58
4.78,-820,-8.817204,0.591393,-0.53736,-5,28.0963,93
4.76,-1.8,-0.06,0.997435,-0.003155,-0.034603,10.8442,30
